trade_date,dominant_code,close,oi,vol,price_change,oi_change,oi_change_pct,vol_change,vol_oi_ratio,price_move_threshold,oi_move_threshold,signal,signal_text,regime,position_flow_score,position_flow_factor
2025-06-03,NI2507.SHF,121250,91891,73462,0.0012386457473163581,-2963.0,-0.031237480759904734,-72092.0,0.799447171104896,0.005377919217439242,0.04495564694469478,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.29998835012588376
2025-06-04,NI2507.SHF,122590,83546,117416,0.011051546391752654,-8345.0,-0.09081411672525053,43954.0,1.4054054054054055,0.005377919217439242,0.05112440740423724,short_covering,价格上涨但减仓，更像空头回补推动的反弹,空头回补,1,0.20237429666502127
2025-06-05,NI2507.SHF,121570,85713,102375,-0.008320417652337042,2167.0,0.02593780671725754,-15041.0,1.1943929158937383,0.006099373830218802,0.05112440740423724,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.17617389064920497
2025-06-06,NI2507.SHF,122200,80736,98620,0.005182199555811451,-4977.0,-0.058065870988064816,-3755.0,1.2215120887831945,0.005395977826686216,0.05700913384844375,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.5288367143225337
2025-06-09,NI2507.SHF,122710,76246,115890,0.004173486088379752,-4490.0,-0.05561335711454618,17270.0,1.5199485874668834,0.005395977826686216,0.05700913384844375,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.5143987102616643
2025-06-10,NI2507.SHF,121390,78763,107520,-0.010757069513487094,2517.0,0.03301156781995118,-8370.0,1.3651079821743712,0.005395977826686216,0.05700913384844375,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.22254498306464088
2025-06-11,NI2507.SHF,121790,76472,89964,0.0032951643463217106,-2291.0,-0.029087261785356033,-17556.0,1.176430588973742,0.005164140946564477,0.05587182492842163,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.2579209743903432
2025-06-12,NI2507.SHF,120000,85673,109748,-0.014697430002463263,9201.0,0.12031854796526842,19784.0,1.2810103533201826,0.005164140946564477,0.05587182492842163,short_buildup,价格下跌且增仓，偏向空头增仓、情绪偏空,空头增仓,-2,-0.9437888203719487
2025-06-13,NI2507.SHF,119920,82485,86947,-0.0006666666666667043,-3188.0,-0.03721125675533721,-22801.0,1.0540946838819178,0.004933259285367475,0.05587182492842163,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.3787792342200391
2025-06-16,NI2507.SHF,119690,79723,98243,-0.0019179452968646205,-2762.0,-0.03348487603806749,11296.0,1.2323043538251195,0.004933259285367475,0.04970306446887918,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.3540282133493211
