ts_code,trade_date,open,high,low,close,vol,oi,delist_date
SS2412.SHF,20240126,14290.0,14290.0,14005.0,14160,45,131,20241216
SS2402.SHF,20240129,14160.0,14265.0,14060.0,14125,3801,9739,20240219
SS2403.SHF,20240129,14190.0,14315.0,14090.0,14155,163120,98764,20240315
SS2404.SHF,20240129,14205.0,14305.0,14100.0,14140,17003,38696,20240415
SS2405.SHF,20240129,14205.0,14300.0,14095.0,14150,55954,68077,20240515
SS2406.SHF,20240129,14160.0,14245.0,14055.0,14095,2105,13343,20240617
SS2407.SHF,20240129,14150.0,14225.0,14045.0,14080,414,3164,20240715
SS2408.SHF,20240129,14175.0,14220.0,14050.0,14065,456,1416,20240815
SS2409.SHF,20240129,14150.0,14215.0,14045.0,14090,1535,7046,20240918
SS2410.SHF,20240129,14185.0,14225.0,14070.0,14100,47,802,20241015
SS2411.SHF,20240129,14200.0,14230.0,14085.0,14115,33,488,20241115
SS2412.SHF,20240129,14165.0,14230.0,14095.0,14100,40,136,20241216
SS2402.SHF,20240130,14140.0,14205.0,13965.0,14025,2882,9183,20240219
SS2403.SHF,20240130,14200.0,14255.0,14000.0,14055,173087,90490,20240315
SS2404.SHF,20240130,14180.0,14235.0,14020.0,14060,18408,38384,20240415
SS2405.SHF,20240130,14165.0,14235.0,14035.0,14075,53835,68772,20240515
SS2406.SHF,20240130,14150.0,14180.0,13985.0,14025,2849,13923,20240617
SS2407.SHF,20240130,14090.0,14155.0,13980.0,14015,552,3328,20240715
SS2408.SHF,20240130,14085.0,14150.0,13980.0,14035,375,1564,20240815
SS2409.SHF,20240130,14110.0,14165.0,13990.0,14020,1792,7515,20240918
SS2410.SHF,20240130,14105.0,14175.0,14025.0,14035,25,802,20241015
SS2411.SHF,20240130,14180.0,14180.0,14045.0,14055,27,496,20241115
SS2412.SHF,20240130,14175.0,14175.0,14020.0,14070,29,148,20241216
SS2402.SHF,20240131,14025.0,14035.0,13780.0,13900,2717,8370,20240219
SS2403.SHF,20240131,14040.0,14085.0,13865.0,13880,167241,81290,20240315
SS2404.SHF,20240131,14125.0,14125.0,13885.0,13900,18895,37626,20240415
SS2405.SHF,20240131,14095.0,14100.0,13910.0,13920,63770,70504,20240515
SS2406.SHF,20240131,14095.0,14095.0,13855.0,13860,3932,14587,20240617
SS2407.SHF,20240131,14015.0,14030.0,13835.0,13835,558,3484,20240715
SS2408.SHF,20240131,14015.0,14015.0,13840.0,13860,161,1641,20240815
SS2409.SHF,20240131,13995.0,14035.0,13850.0,13855,2478,8038,20240918
SS2410.SHF,20240131,13880.0,14030.0,13870.0,13880,100,791,20241015
SS2411.SHF,20240131,13980.0,14015.0,13880.0,13885,84,500,20241115
SS2412.SHF,20240131,14000.0,14000.0,13900.0,13900,35,152,20241216
SS2402.SHF,20240201,13830.0,13865.0,13610.0,13665,1518,8220,20240219
SS2403.SHF,20240201,13870.0,13905.0,13675.0,13715,146840,78308,20240315
SS2404.SHF,20240201,13930.0,13935.0,13705.0,13730,20862,38772,20240415
SS2405.SHF,20240201,13910.0,13960.0,13720.0,13745,78375,76568,20240515
SS2406.SHF,20240201,13870.0,13895.0,13675.0,13700,4417,15810,20240617
SS2407.SHF,20240201,13865.0,13890.0,13665.0,13715,1003,3841,20240715
SS2408.SHF,20240201,13880.0,13895.0,13685.0,13695,370,1678,20240815
SS2409.SHF,20240201,13850.0,13905.0,13690.0,13705,3535,9140,20240918
SS2410.SHF,20240201,13900.0,13900.0,13705.0,13755,130,798,20241015
SS2411.SHF,20240201,13910.0,13920.0,13725.0,13760,84,535,20241115
SS2412.SHF,20240201,13910.0,13910.0,13750.0,13755,45,182,20241216
SS2501.SHF,20240201,13910.0,13910.0,13780.0,13800,67,134,20250115
SS2402.SHF,20240202,13665.0,13685.0,13535.0,13625,840,7992,20240219
SS2403.SHF,20240202,13700.0,13750.0,13570.0,13655,111950,75310,20240315
SS2404.SHF,20240202,13720.0,13775.0,13610.0,13685,18779,39403,20240415
SS2405.SHF,20240202,13755.0,13795.0,13620.0,13700,71378,77419,20240515
SS2406.SHF,20240202,13710.0,13750.0,13590.0,13655,5675,16606,20240617
SS2407.SHF,20240202,13725.0,13750.0,13590.0,13650,983,4126,20240715
SS2408.SHF,20240202,13695.0,13755.0,13595.0,13665,144,1658,20240815
SS2409.SHF,20240202,13700.0,13750.0,13590.0,13660,3173,9848,20240918
SS2410.SHF,20240202,13735.0,13770.0,13605.0,13670,105,826,20241015
SS2411.SHF,20240202,13755.0,13790.0,13610.0,13685,102,544,20241115
SS2412.SHF,20240202,13805.0,13820.0,13625.0,13665,63,224,20241216
SS2501.SHF,20240202,13800.0,13825.0,13650.0,13720,53,154,20250115
SS2402.SHF,20240205,13640.0,13715.0,13560.0,13595,240,7956,20240219
SS2403.SHF,20240205,13655.0,13730.0,13600.0,13630,128676,68737,20240315
SS2404.SHF,20240205,13695.0,13760.0,13635.0,13660,21358,39182,20240415
SS2405.SHF,20240205,13680.0,13780.0,13655.0,13670,86123,89101,20240515
SS2406.SHF,20240205,13660.0,13735.0,13595.0,13605,8062,19595,20240617
SS2407.SHF,20240205,13650.0,13725.0,13590.0,13615,786,4243,20240715
SS2408.SHF,20240205,13660.0,13715.0,13590.0,13610,244,1596,20240815
SS2409.SHF,20240205,13685.0,13740.0,13605.0,13615,2976,10414,20240918
SS2410.SHF,20240205,13705.0,13740.0,13620.0,13620,31,826,20241015
SS2411.SHF,20240205,13680.0,13745.0,13620.0,13630,39,539,20241115
SS2412.SHF,20240205,13710.0,13745.0,13655.0,13655,28,231,20241216
SS2501.SHF,20240205,13755.0,13780.0,13675.0,13690,36,159,20250115
SS2402.SHF,20240206,13590.0,13635.0,12990.0,13580,420,7800,20240219
SS2403.SHF,20240206,13600.0,13665.0,13525.0,13615,95363,61617,20240315
SS2404.SHF,20240206,13620.0,13680.0,13570.0,13640,18564,38188,20240415
SS2405.SHF,20240206,13650.0,13690.0,13580.0,13635,78716,93158,20240515
SS2406.SHF,20240206,13580.0,13615.0,13525.0,13575,5131,20490,20240617
SS2407.SHF,20240206,13570.0,13615.0,13510.0,13590,572,4340,20240715
SS2408.SHF,20240206,13595.0,13620.0,13545.0,13605,110,1597,20240815
SS2409.SHF,20240206,13600.0,13635.0,13545.0,13585,2603,10939,20240918
SS2410.SHF,20240206,13610.0,13670.0,13560.0,13615,67,859,20241015
SS2411.SHF,20240206,13600.0,13655.0,13570.0,13620,42,550,20241115
SS2412.SHF,20240206,13600.0,13665.0,13575.0,13630,51,254,20241216
SS2501.SHF,20240206,13665.0,13695.0,13605.0,13680,61,189,20250115
SS2402.SHF,20240207,13570.0,13570.0,13495.0,13500,408,7764,20240219
SS2403.SHF,20240207,13635.0,13675.0,13450.0,13525,84674,53893,20240315
SS2404.SHF,20240207,13610.0,13675.0,13460.0,13530,16214,38592,20240415
SS2405.SHF,20240207,13605.0,13670.0,13460.0,13535,81824,96263,20240515
SS2406.SHF,20240207,13560.0,13600.0,13405.0,13470,5566,21239,20240617
SS2407.SHF,20240207,13540.0,13595.0,13415.0,13440,662,4427,20240715
SS2408.SHF,20240207,13560.0,13605.0,13450.0,13460,142,1622,20240815
SS2409.SHF,20240207,13590.0,13610.0,13435.0,13485,3248,11668,20240918
SS2410.SHF,20240207,13590.0,13625.0,13465.0,13500,58,873,20241015
SS2411.SHF,20240207,13615.0,13615.0,13485.0,13510,42,563,20241115
SS2412.SHF,20240207,13645.0,13645.0,13500.0,13535,36,261,20241216
SS2501.SHF,20240207,13680.0,13685.0,13525.0,13570,57,225,20250115
SS2402.SHF,20240208,13500.0,13500.0,13465.0,13465,84,7824,20240219
SS2403.SHF,20240208,13470.0,13640.0,13470.0,13630,63868,45700,20240315
SS2404.SHF,20240208,13480.0,13645.0,13480.0,13640,10729,38360,20240415
SS2405.SHF,20240208,13570.0,13645.0,13505.0,13640,79783,97559,20240515
SS2406.SHF,20240208,13470.0,13575.0,13455.0,13570,5072,20639,20240617
SS2407.SHF,20240208,13490.0,13585.0,13460.0,13565,371,4475,20240715
SS2408.SHF,20240208,13510.0,13605.0,13475.0,13580,114,1635,20240815
SS2409.SHF,20240208,13495.0,13595.0,13460.0,13575,2522,11675,20240918
SS2410.SHF,20240208,13560.0,13605.0,13490.0,13580,71,885,20241015
SS2411.SHF,20240208,13550.0,13620.0,13500.0,13620,50,575,20241115
SS2412.SHF,20240208,13590.0,13590.0,13520.0,13570,37,277,20241216
SS2501.SHF,20240208,13620.0,13675.0,13555.0,13665,58,268,20250115
SS2402.SHF,20240219,13680.0,13690.0,13560.0,13560,192,7884,20240219
SS2403.SHF,20240219,13740.0,13815.0,13580.0,13625,36039,36947,20240315
SS2404.SHF,20240219,13740.0,13760.0,13605.0,13660,11931,39996,20240415
SS2405.SHF,20240219,13680.0,13780.0,13630.0,13680,91932,113848,20240515
SS2406.SHF,20240219,13605.0,13720.0,13580.0,13610,6420,21838,20240617
SS2407.SHF,20240219,13625.0,13715.0,13585.0,13610,887,4379,20240715
SS2408.SHF,20240219,13655.0,13705.0,13590.0,13625,84,1626,20240815
SS2409.SHF,20240219,13650.0,13710.0,13570.0,13610,2363,11485,20240918
SS2410.SHF,20240219,13700.0,13725.0,13580.0,13580,103,851,20241015
SS2411.SHF,20240219,13735.0,13740.0,13645.0,13645,30,581,20241115
SS2412.SHF,20240219,13730.0,13730.0,13660.0,13660,17,288,20241216
SS2501.SHF,20240219,13765.0,13785.0,13670.0,13685,40,268,20250115
SS2403.SHF,20240220,13645.0,13750.0,13620.0,13655,26507,32260,20240315
SS2404.SHF,20240220,13680.0,13780.0,13650.0,13690,10130,39620,20240415
SS2405.SHF,20240220,13715.0,13805.0,13665.0,13710,122166,127135,20240515
SS2406.SHF,20240220,13645.0,13740.0,13620.0,13665,8073,22909,20240617
SS2407.SHF,20240220,13650.0,13735.0,13620.0,13660,1004,4499,20240715
SS2408.SHF,20240220,13630.0,13735.0,13630.0,13670,162,1635,20240815
SS2409.SHF,20240220,13660.0,13750.0,13625.0,13675,3821,12644,20240918
SS2410.SHF,20240220,13655.0,13745.0,13655.0,13700,110,871,20241015
SS2411.SHF,20240220,13690.0,13770.0,13685.0,13735,116,663,20241115
SS2412.SHF,20240220,13720.0,13775.0,13700.0,13730,37,303,20241216
SS2501.SHF,20240220,13765.0,13805.0,13745.0,13780,65,304,20250115
SS2403.SHF,20240221,13705.0,13740.0,13590.0,13690,24547,27003,20240315
SS2404.SHF,20240221,13640.0,13775.0,13620.0,13735,9900,38178,20240415
SS2405.SHF,20240221,13705.0,13800.0,13635.0,13750,138899,133748,20240515
SS2406.SHF,20240221,13705.0,13750.0,13585.0,13700,7905,24019,20240617
SS2407.SHF,20240221,13700.0,13750.0,13605.0,13700,1088,4451,20240715
SS2408.SHF,20240221,13620.0,13740.0,13610.0,13700,217,1604,20240815
SS2409.SHF,20240221,13710.0,13755.0,13615.0,13700,4506,13460,20240918
SS2410.SHF,20240221,13640.0,13770.0,13640.0,13705,81,896,20241015
SS2411.SHF,20240221,13700.0,13805.0,13680.0,13750,71,706,20241115
SS2412.SHF,20240221,13685.0,13810.0,13685.0,13755,32,314,20241216
SS2501.SHF,20240221,13750.0,13850.0,13715.0,13795,71,319,20250115
SS2403.SHF,20240222,13700.0,13825.0,13700.0,13820,20044,22994,20240315
SS2404.SHF,20240222,13820.0,13875.0,13745.0,13870,14736,35412,20240415
SS2405.SHF,20240222,13760.0,13885.0,13760.0,13870,151246,137872,20240515
SS2406.SHF,20240222,13750.0,13840.0,13710.0,13830,7658,24765,20240617
SS2407.SHF,20240222,13730.0,13835.0,13730.0,13830,1113,4300,20240715
SS2408.SHF,20240222,13770.0,13830.0,13745.0,13820,185,1601,20240815
SS2409.SHF,20240222,13715.0,13830.0,13715.0,13825,3646,13413,20240918
SS2410.SHF,20240222,13775.0,13845.0,13750.0,13830,69,886,20241015
SS2411.SHF,20240222,13810.0,13860.0,13785.0,13835,81,718,20241115
SS2412.SHF,20240222,13815.0,13880.0,13800.0,13860,34,311,20241216
SS2501.SHF,20240222,13845.0,13895.0,13800.0,13895,124,340,20250115
SS2403.SHF,20240223,13850.0,14005.0,13825.0,13990,22410,19100,20240315
SS2404.SHF,20240223,13900.0,14045.0,13870.0,14035,19794,34068,20240415
SS2405.SHF,20240223,13920.0,14075.0,13890.0,14070,191685,142084,20240515
SS2406.SHF,20240223,13865.0,14025.0,13845.0,14020,12233,25479,20240617
SS2407.SHF,20240223,13840.0,14015.0,13840.0,14015,1437,3990,20240715
SS2408.SHF,20240223,13875.0,14015.0,13845.0,13995,293,1613,20240815
SS2409.SHF,20240223,13820.0,14000.0,13820.0,14000,4804,13286,20240918
SS2410.SHF,20240223,13855.0,14015.0,13850.0,13990,190,882,20241015
SS2411.SHF,20240223,13870.0,14040.0,13840.0,14040,321,701,20241115
SS2412.SHF,20240223,13890.0,14035.0,13875.0,14035,64,303,20241216
SS2501.SHF,20240223,13930.0,14045.0,13895.0,14045,102,372,20250115
SS2403.SHF,20240226,14015.0,14015.0,13835.0,13860,14762,17258,20240315
SS2404.SHF,20240226,14035.0,14050.0,13875.0,13905,9891,34263,20240415
SS2405.SHF,20240226,14070.0,14090.0,13900.0,13940,172774,137504,20240515
SS2406.SHF,20240226,14060.0,14060.0,13865.0,13890,9715,25989,20240617
SS2407.SHF,20240226,14005.0,14010.0,13870.0,13890,1042,4144,20240715
SS2408.SHF,20240226,13975.0,13995.0,13860.0,13885,211,1652,20240815
SS2409.SHF,20240226,13960.0,14020.0,13870.0,13880,4481,13602,20240918
SS2410.SHF,20240226,13975.0,13985.0,13870.0,13910,59,888,20241015
SS2411.SHF,20240226,14045.0,14045.0,13900.0,13925,55,691,20241115
SS2412.SHF,20240226,14050.0,14050.0,13905.0,13910,35,299,20241216
SS2501.SHF,20240226,14035.0,14035.0,13925.0,13925,59,396,20250115
SS2403.SHF,20240227,13860.0,14070.0,13855.0,14030,15087,15584,20240315
SS2404.SHF,20240227,13915.0,14110.0,13900.0,14090,18837,34171,20240415
SS2405.SHF,20240227,13960.0,14150.0,13940.0,14130,191793,140536,20240515
SS2406.SHF,20240227,13935.0,14105.0,13905.0,14085,12243,25920,20240617
SS2407.SHF,20240227,13920.0,14100.0,13905.0,14085,1507,4083,20240715
SS2408.SHF,20240227,13900.0,14090.0,13895.0,14070,200,1622,20240815
SS2409.SHF,20240227,13905.0,14085.0,13890.0,14065,4979,13074,20240918
SS2410.SHF,20240227,13950.0,14080.0,13905.0,14060,155,844,20241015
SS2411.SHF,20240227,13975.0,14105.0,13920.0,14090,182,636,20241115
SS2412.SHF,20240227,14015.0,14110.0,13975.0,14070,53,288,20241216
SS2501.SHF,20240227,13930.0,14130.0,13930.0,14105,134,419,20250115
SS2403.SHF,20240228,14050.0,14115.0,14000.0,14015,7928,14528,20240315
SS2404.SHF,20240228,14105.0,14165.0,14050.0,14065,22144,33751,20240415
SS2405.SHF,20240228,14160.0,14210.0,14085.0,14100,183082,137520,20240515
SS2406.SHF,20240228,14110.0,14160.0,14050.0,14060,16666,26886,20240617
SS2407.SHF,20240228,14090.0,14140.0,14035.0,14045,1490,4236,20240715
SS2408.SHF,20240228,14095.0,14130.0,14040.0,14045,133,1645,20240815
SS2409.SHF,20240228,14090.0,14130.0,14020.0,14040,4370,13530,20240918
SS2410.SHF,20240228,14080.0,14135.0,14030.0,14030,56,839,20241015
SS2411.SHF,20240228,14115.0,14130.0,14040.0,14055,107,637,20241115
SS2412.SHF,20240228,14130.0,14155.0,14075.0,14080,43,292,20241216
SS2501.SHF,20240228,14160.0,14160.0,14065.0,14065,79,422,20250115
SS2403.SHF,20240229,14015.0,14100.0,13960.0,14100,3268,14209,20240315
SS2404.SHF,20240229,14060.0,14125.0,14010.0,14105,20783,32191,20240415
SS2405.SHF,20240229,14100.0,14170.0,14045.0,14145,180568,136810,20240515
SS2406.SHF,20240229,14040.0,14120.0,14010.0,14100,14237,27836,20240617
SS2407.SHF,20240229,14045.0,14100.0,14000.0,14065,1306,4423,20240715
SS2408.SHF,20240229,14005.0,14100.0,14005.0,14075,69,1650,20240815
SS2409.SHF,20240229,14040.0,14100.0,13990.0,14070,3939,13952,20240918
SS2410.SHF,20240229,14020.0,14105.0,14000.0,14075,66,830,20241015
SS2411.SHF,20240229,14030.0,14120.0,14020.0,14085,51,644,20241115
SS2412.SHF,20240229,14015.0,14105.0,14015.0,14070,23,297,20241216
SS2501.SHF,20240229,14065.0,14135.0,14025.0,14125,61,439,20250115
SS2403.SHF,20240301,14025.0,14040.0,13900.0,13900,949,14376,20240315
SS2404.SHF,20240301,14105.0,14115.0,13910.0,13910,22967,30522,20240415
SS2405.SHF,20240301,14130.0,14160.0,13950.0,13955,197450,138602,20240515
SS2406.SHF,20240301,14085.0,14115.0,13915.0,13920,16643,28995,20240617
SS2407.SHF,20240301,14075.0,14090.0,13910.0,13930,1832,4873,20240715
