ts_code,trade_date,open,high,low,close,vol,oi,delist_date
NI2105.SHF,20201117,120500.0,120500.0,116200.0,116230,4355,13706,20210517
NI2106.SHF,20201117,120090.0,120090.0,116600.0,116700,39,8214,20210615
NI2109.SHF,20201117,120300.0,120300.0,116540.0,116810,53,129,20210915
NI2012.SHF,20201118,116000.0,116460.0,115290.0,115850,14224,28144,20201215
NI2101.SHF,20201118,116400.0,116810.0,115550.0,116070,19388,36260,20210115
NI2102.SHF,20201118,116450.0,116920.0,115700.0,116280,541375,154539,20210205
NI2103.SHF,20201118,116480.0,116980.0,115740.0,116470,47164,40550,20210315
NI2104.SHF,20201118,116500.0,117080.0,115840.0,116340,3817,13307,20210415
NI2105.SHF,20201118,116500.0,117040.0,115880.0,116350,1552,13815,20210517
NI2106.SHF,20201118,116500.0,117040.0,116000.0,116610,41,8223,20210615
NI2109.SHF,20201118,117030.0,117240.0,116680.0,117090,13,134,20210915
NI2012.SHF,20201119,115870.0,116550.0,114770.0,116130,16071,26486,20201215
NI2101.SHF,20201119,116210.0,116850.0,115000.0,116270,19307,35193,20210115
NI2102.SHF,20201119,116380.0,117070.0,115150.0,116470,583615,149038,20210205
NI2103.SHF,20201119,116670.0,117210.0,115330.0,116630,49239,42366,20210315
NI2104.SHF,20201119,116490.0,117350.0,115510.0,116840,5176,13341,20210415
NI2105.SHF,20201119,116490.0,117400.0,115670.0,116870,2201,14016,20210517
NI2106.SHF,20201119,116380.0,117530.0,115980.0,117010,29,8229,20210615
NI2109.SHF,20201119,116670.0,117670.0,116130.0,117140,19,137,20210915
NI2012.SHF,20201120,116010.0,117470.0,115900.0,116380,14082,24597,20201215
NI2101.SHF,20201120,116040.0,117690.0,116040.0,116640,16999,33345,20210115
NI2102.SHF,20201120,116380.0,117960.0,116310.0,116900,578779,146755,20210205
NI2103.SHF,20201120,116700.0,118170.0,116360.0,117110,36978,44028,20210315
NI2104.SHF,20201120,116970.0,118320.0,116710.0,117260,2932,13476,20210415
NI2105.SHF,20201120,116970.0,118370.0,116840.0,117750,1418,14086,20210517
NI2106.SHF,20201120,117370.0,117990.0,117370.0,117620,13,8229,20210615
NI2109.SHF,20201120,117210.0,118090.0,117210.0,117700,5,135,20210915
NI2012.SHF,20201123,116800.0,119450.0,116700.0,119160,17739,21766,20201215
NI2101.SHF,20201123,117560.0,119860.0,117000.0,119430,24377,32108,20210115
NI2102.SHF,20201123,117210.0,120040.0,117200.0,119780,723927,151399,20210205
NI2103.SHF,20201123,117810.0,120190.0,117430.0,120050,53118,48662,20210315
NI2104.SHF,20201123,117690.0,120330.0,117620.0,120100,4595,13820,20210415
NI2105.SHF,20201123,117920.0,120410.0,117810.0,120350,3180,14090,20210517
NI2106.SHF,20201123,119000.0,120540.0,118840.0,120070,30,8221,20210615
NI2109.SHF,20201123,118780.0,120760.0,118780.0,120520,55,141,20210915
NI2012.SHF,20201124,118640.0,120780.0,118120.0,120480,13168,20749,20201215
NI2101.SHF,20201124,119000.0,121190.0,118260.0,120850,24702,29919,20210115
NI2102.SHF,20201124,119090.0,121430.0,118560.0,121200,687996,162669,20210205
NI2103.SHF,20201124,119530.0,121590.0,118760.0,121360,49264,52314,20210315
NI2104.SHF,20201124,119410.0,121820.0,119050.0,121600,14243,17659,20210415
NI2105.SHF,20201124,119640.0,121870.0,119200.0,121640,4850,14822,20210517
NI2106.SHF,20201124,119690.0,121800.0,119480.0,121630,41,8225,20210615
NI2109.SHF,20201124,119880.0,122000.0,119650.0,122000,45,134,20210915
NI2012.SHF,20201125,119950.0,120970.0,119040.0,119150,13138,18276,20201215
NI2101.SHF,20201125,120150.0,121310.0,119180.0,119450,18564,29845,20210115
NI2102.SHF,20201125,120600.0,121640.0,119540.0,119660,736423,156527,20210205
NI2103.SHF,20201125,120700.0,121740.0,119690.0,119780,50873,58550,20210315
NI2104.SHF,20201125,121290.0,121940.0,119920.0,119940,9887,19423,20210415
NI2105.SHF,20201125,121380.0,122060.0,120120.0,120280,3236,14849,20210517
NI2106.SHF,20201125,120950.0,122080.0,120530.0,120530,24,8231,20210615
NI2109.SHF,20201125,121030.0,121880.0,120550.0,120840,18,136,20210915
NI2012.SHF,20201126,118510.0,120200.0,118080.0,120200,6934,17330,20201215
NI2101.SHF,20201126,124400.0,124400.0,118320.0,120520,22824,28460,20210115
NI2102.SHF,20201126,119230.0,120800.0,118520.0,120750,709564,155117,20210205
NI2103.SHF,20201126,119490.0,120930.0,118600.0,120900,55255,59017,20210315
NI2104.SHF,20201126,119190.0,121080.0,118920.0,121080,13510,23098,20210415
NI2105.SHF,20201126,119490.0,121200.0,119090.0,121190,4533,15085,20210517
NI2106.SHF,20201126,119780.0,121300.0,119320.0,121080,27,8237,20210615
NI2109.SHF,20201126,120070.0,120390.0,119510.0,119540,19,132,20210915
NI2012.SHF,20201127,119740.0,122400.0,119400.0,122130,11527,14701,20201215
NI2101.SHF,20201127,119990.0,122970.0,119600.0,122530,31889,26547,20210115
NI2102.SHF,20201127,120100.0,123160.0,119970.0,122850,892264,183010,20210205
NI2103.SHF,20201127,120040.0,123210.0,120040.0,122970,76263,66046,20210315
NI2104.SHF,20201127,120410.0,123390.0,120320.0,123300,18937,27147,20210415
NI2105.SHF,20201127,120890.0,123450.0,120280.0,123150,4522,15775,20210517
NI2106.SHF,20201127,120800.0,123340.0,120660.0,123150,2130,8292,20210615
NI2109.SHF,20201127,121550.0,123570.0,121550.0,123460,99,156,20210915
NI2012.SHF,20201130,122130.0,122900.0,119630.0,120980,9916,11408,20201215
NI2101.SHF,20201130,122540.0,123270.0,120160.0,121630,25313,25552,20210115
