trade_date,dominant_code,close,skew_factor,upside_skew,downside_skew,ret_5min_mean,ret_5min_std,bar_count
2025-12-11,CU2602.SHF,92310.0,-1.1875600598195384,1.031783974635223,-3.3291992088757594,-8.060836749176606e-06,0.0005532098012028,225
2025-12-12,CU2602.SHF,94170.0,0.5830245769137907,2.046944358109079,-1.2105409332984498,1.9633672931686618e-05,0.0005556099241884,225
2025-12-15,CU2602.SHF,92490.0,0.4393609986497017,1.521142498456854,-1.574725552638945,3.9874010801120176e-05,0.0004841004193208,225
2025-12-16,CU2602.SHF,91920.0,-2.6448630611760247,0.7500563186234241,-5.460494344988758,-1.245919091444485e-05,0.0005480821276957,225
2025-12-17,CU2602.SHF,92820.0,0.5796431732928452,2.252185949153426,-1.012481783223964,4.266288566249855e-05,0.0005205403884305,225
2025-12-18,CU2602.SHF,92600.0,0.5576736241236506,4.033266199158815,-2.384330273226575,2.520577809076282e-06,0.0004678068418132,225
2025-12-19,CU2602.SHF,93180.0,1.971499663592492,4.709117540682436,-1.3529758846779931,2.993933819775617e-05,0.0005202191356898,225
2025-12-22,CU2602.SHF,94320.0,-0.6169864897853907,1.0902886951648512,-2.058796717427702,2.8231288576508018e-05,0.000659825291901,225
2025-12-23,CU2602.SHF,93930.0,-1.0380878370538034,1.0663486851922062,-3.0622845129049705,-8.917400145471472e-06,0.0004553801593424,225
2025-12-24,CU2602.SHF,96100.0,0.1269791948738966,2.675091549862743,-2.632255960306379,2.45230832569331e-05,0.0007756795911126,225
2025-12-25,CU2602.SHF,96210.0,0.1951243351814474,2.0479711259029902,-1.4759481211959335,6.517751691584256e-05,0.0006433242133956,225
2025-12-26,CU2602.SHF,98720.0,-0.2866406198506571,1.864765636818896,-2.7694030742943014,3.135069822225425e-05,0.0009929682600181,225
2025-12-29,CU2602.SHF,98860.0,0.1741949173541215,1.4281909042511438,-1.2239834022717762,-4.9120151490548496e-05,0.0015303291124116,225
2025-12-30,CU2602.SHF,98090.0,-0.0761165477754993,1.4315069448220077,-1.4410392375830992,8.959411939755076e-05,0.0009075248463437,225
2025-12-31,CU2602.SHF,98240.0,-0.9736710988893318,0.6507248977271429,-2.5619106627900483,-7.614861699721531e-06,0.0010553762275153,225
2026-01-05,CU2602.SHF,101350.0,0.9338731983951056,3.720609444698565,-2.224746555112801,8.473084392309292e-05,0.0011110888060476,226
2026-01-06,CU2602.SHF,105320.0,0.1511259242230594,2.8029495632245074,-1.864016443777884,9.2671578826802e-05,0.0010868073598318,225
2026-01-07,CU2602.SHF,103410.0,-0.8233428832233881,1.2016228280064574,-3.1421581927817996,-5.7682458014612715e-05,0.001135669480692,225
2026-01-08,CU2603.SHF,101250.0,-0.7082459237434854,2.705773615200605,-2.993240797015019,-2.5709918539146776e-05,0.0011543818336049,225
2026-01-09,CU2603.SHF,101580.0,-0.0474039706704447,0.9154882237473873,-1.2018674146066444,6.200869640279783e-05,0.0009966254226767,225
2026-01-12,CU2603.SHF,103980.0,-0.2239394871304637,2.164286301474555,-1.6061893903651865,1.5413721019522692e-05,0.000850048377743,225
2026-01-13,CU2603.SHF,102480.0,0.0565921863770875,1.432477938745009,-1.0061243224803402,-2.398386822246093e-05,0.0008299768107221,225
2026-01-14,CU2603.SHF,104120.0,-0.6870869497797877,2.9595255428233727,-4.051728499482078,1.39931098799185e-05,0.0011671899826394,225
2026-01-15,CU2603.SHF,102810.0,-0.2667540345780984,1.161325276028209,-1.8194988920335151,-4.916977385911885e-05,0.0009876691838983,225
2026-01-16,CU2603.SHF,100770.0,-0.118210295409409,1.3360170308739316,-1.242846491074808,-8.556822826601437e-05,0.0009227690268752,225
2026-01-19,CU2603.SHF,101180.0,-0.1113279452525758,1.8354414313846443,-2.176653125730492,-3.719040067580943e-06,0.0007073499271436,225
2026-01-20,CU2603.SHF,101230.0,0.8943587170903129,2.986786030414408,-1.2864920474538435,-6.424091881297623e-06,0.0006101142028424,225
2026-01-21,CU2603.SHF,101280.0,0.0622601773042235,1.3349843557424628,-1.891825764907712,5.605197710758276e-05,0.0005708978503257,225
2026-01-22,CU2603.SHF,100700.0,0.4451602663197431,1.939588713150617,-1.8441871228486677,2.1481278301866452e-05,0.0005487923646329,225
2026-01-23,CU2603.SHF,101340.0,1.713055627097382,4.402793836517114,-1.2406285844278704,7.282363341863861e-06,0.0006760730776365,225
2026-01-26,CU2603.SHF,101880.0,-0.6929880707246304,1.3939803201280538,-2.100151764066517,-8.603901539095295e-05,0.0007954118811288,225
2026-01-27,CU2603.SHF,102600.0,-0.3597048266980318,1.4547026781750612,-2.4397467987579113,8.058909009139561e-06,0.0006631536055474,225
2026-01-28,CU2603.SHF,103060.0,0.1505472392113698,1.5988854043945095,-1.430431192773092,3.239860124786097e-05,0.0006747367177906,225
2026-01-29,CU2603.SHF,109110.0,2.1533626847890317,4.823774428919074,-1.533680333718791,0.0002587689893423,0.001954123161874,225
2026-01-30,CU2603.SHF,103680.0,-0.6329332053241166,2.057973882531935,-2.9219459265132497,-0.0001910723010401,0.0023263004139042,225
2026-02-02,CU2603.SHF,98580.0,0.3343571685538785,1.389051062488141,-1.510237062423114,-0.0001231234202092,0.0014293033752806,225
2026-02-03,CU2603.SHF,104500.0,0.2852324412952013,1.4849683653283476,-1.669784718015664,0.0001211023753707,0.0012035464830013,225
2026-02-04,CU2603.SHF,105160.0,-0.0721377404704097,1.350202692653781,-1.168440745598408,-9.807670879537509e-06,0.0008593085127427,225
2026-02-05,CU2603.SHF,100980.0,-0.3731640180822465,1.3201356015239336,-2.2365229317084423,-9.308816554640752e-05,0.001026910412947,225
2026-02-06,CU2603.SHF,100100.0,0.3178883134766309,1.536316863740736,-1.4504629969662677,2.5606027793023778e-05,0.0010589677299906,225
2026-02-09,CU2603.SHF,101840.0,0.1188636050062232,1.609228509538834,-1.7319303295925947,-1.8137060835143383e-05,0.0006872423970187,225
