trade_date,roll_yield,dominant_code,close,virtual_real_ratio,oi_change,vol_change,signal,signal_text,roll_component,ratio_component,agreement_boost,combo_score_raw,combo_score
2024-12-27,0.0342855429631494,NI2502.SHF,124800,1.4811980760822037,-3203.0,4898.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,-0.6308816159609923,0.3216756855602663,0.85,-0.24985869535248884,-0.2123798910496155
2024-12-30,0.0340296678466979,NI2502.SHF,124820,1.5460953204916155,840.0,6345.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,-0.5948721352470259,0.18074218072432022,0.85,-0.28462640885848745,-0.24193244752971432
2024-12-31,0.0275737381358969,NI2502.SHF,124750,1.4591250383083052,-286.0,-7253.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.42646086888932766,0.36629508456966725,1.15,0.4023945551614635,0.46275373843568296
2025-01-02,0.0317971001449343,NI2502.SHF,123820,1.130574643585796,1581.0,-23942.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,-0.26195261505540557,1.0654155683079964,0.85,0.2689946582899553,0.22864545954646198
2025-01-03,0.0328650253553446,NI2502.SHF,122640,1.4810557634643546,6149.0,37108.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,-0.44203922795900563,0.3000335411142856,0.85,-0.14521012032968916,-0.12342860228023579
2025-01-06,0.0260577707186657,NI2502.SHF,122260,2.4973034751241117,-2045.0,82333.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.6548480775008785,-1.8602388942117771,0.85,-0.3511867111841838,-0.29850870450655625
2025-01-07,0.0327039229504814,NI2502.SHF,122720,1.4273185295764135,-3612.0,-95031.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,-0.4371023477974443,0.43294128643713276,0.85,-0.08908489410361342,-0.0757221599880714
2025-01-08,0.0272781310404093,NI2502.SHF,125230,2.3310374013162694,-11858.0,45004.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.4469901145202833,-1.4779678964886818,0.85,-0.3229930898833028,-0.27454412640080733
2025-01-09,0.0272842164617146,NI2502.SHF,125510,2.0124296135142052,-6015.0,-33938.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.4433550679320558,-0.7887000309382411,0.85,-0.049466971616063005,-0.04204692587365355
2025-01-10,0.025884723963569,NI2502.SHF,125480,1.8354574303799616,-3585.0,-17643.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.6654408153584749,-0.4021434473780961,0.85,0.23840711026384645,0.20264604372426948
2025-01-13,0.0297889246759836,NI2502.SHF,127700,2.372368171062404,-1030.0,29195.0,bearish,升水与高虚实盘比共振，偏空信号增强,0.02455238085522206,-1.5167024818714874,0.85,-0.5919495642354617,-0.5031571296001425
2025-01-14,0.0243473633092858,NI2503.SHF,127900,0.6758762956324715,1244.0,-97381.0,bullish,贴水与低虚实盘比共振，偏多信号增强,0.9027964490349458,2.042897928476633,1.15,1.3588370408116206,1.5626625969333636
2025-01-15,0.0298815093392166,NI2503.SHF,127920,0.731808176100629,4459.0,6571.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,-0.0035563377964321343,1.897712258488394,0.85,0.7569511007174985,0.6434084356098737
2025-01-16,0.0291289465635552,NI2503.SHF,128970,0.8548133456116739,6985.0,13794.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.11892649809139205,1.6256534407777623,1.15,0.7216172751659402,0.8298598664408312
2025-01-17,0.0279030644397281,NI2503.SHF,128490,0.7411979041620179,222.0,-7855.0,bullish,贴水与低虚实盘比共振，偏多信号增强,0.3190386042545324,1.839569852431838,1.15,0.9272511035254547,1.0663387690542727
2025-01-20,0.0258452135001767,NI2503.SHF,126900,1.1482315481483607,-1085.0,27575.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.6515343053269885,1.0080993747754885,1.15,0.7941603331063884,0.9132843830723466
2025-01-21,0.0236047735267865,NI2503.SHF,128430,0.9350895126533318,2670.0,-12364.0,bullish,贴水与低虚实盘比共振，偏多信号增强,1.0037764863033902,1.4216129157032367,1.15,1.1709110580633288,1.3465477167728281
2025-01-22,0.0271086620223002,NI2503.SHF,126750,1.1235858320890002,1945.0,15831.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.4404162071654033,1.034203065272398,1.15,0.6779309504082012,0.7796205929694313
2025-01-23,0.0288120106546647,NI2503.SHF,124150,1.5308755760368664,8123.0,42712.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.1751595571775361,0.21973467425595153,1.15,0.19298960400890225,0.22193804461023756
2025-01-24,0.0280766137088912,NI2503.SHF,123710,1.313388513300057,-3325.0,-22301.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.3207871205077661,0.6589262720480649,1.15,0.45604278112388563,0.5244491982924684
2025-01-27,0.0270619830281233,NI2503.SHF,124150,1.2546393941538678,-8490.0,-15301.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.6369079086553617,0.7645077335417513,1.15,0.6879478386099176,0.7911400144014051
2025-02-05,0.0252736497342175,NI2503.SHF,123240,0.9119675036545453,6656.0,-18138.0,bullish,贴水与低虚实盘比共振，偏多信号增强,1.0343660748467745,1.4294282551444901,1.15,1.1923909469658607,1.3712495890107397
2025-02-06,0.0204278947071459,NI2503.SHF,127400,2.0382322093073375,-7700.0,71367.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,2.060274052688993,-0.8191530637070967,0.85,0.908503206130557,0.7722277252109735
2025-02-07,0.0218496377126235,NI2503.SHF,127190,1.6271893244370308,-2457.0,-32607.0,bullish,贴水与低虚实盘比共振，偏多信号增强,1.8330269027485502,0.00014459472225150565,1.15,1.0998739795380308,1.2648550764687354
2025-02-10,0.0231716765633099,NI2503.SHF,127680,1.856252922455013,-847.0,13808.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.5587050351889418,-0.45185617026461594,0.85,0.7544805530075186,0.6413084700563908
2025-02-11,0.0264520553764538,NI2503.SHF,124760,1.9719784380986323,1044.0,9731.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.8476648699351969,-0.6732856303646455,0.85,0.23928466981525992,0.20339196934297094
2025-02-12,0.024543641885104,NI2503.SHF,124550,1.3691332569683086,-1866.0,-43151.0,bullish,贴水与低虚实盘比共振，偏多信号增强,1.2545796807344012,0.5296598570832267,1.15,0.9646117512739314,1.109303513965021
2025-02-13,0.0236812593989214,NI2503.SHF,124280,1.2797819842380496,2410.0,-2766.0,bullish,贴水与低虚实盘比共振，偏多信号增强,1.4685545141213774,0.697488244107871,1.15,1.1601280061159749,1.334147207033371
2025-02-14,0.0251268090940278,NI2503.SHF,124690,1.7751409525824933,-1728.0,30560.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.137432877358052,-0.28747318343849687,0.85,0.5674704530394324,0.48234988508351756
2025-02-17,0.0234369980138999,NI2505.SHF,124320,0.6325901571971643,1974.0,-74339.0,bullish,贴水与低虚实盘比共振，偏多信号增强,1.542808423846227,1.9408930337550765,1.15,1.7020422678097669,1.9573486079812317
2025-02-18,0.0222590857396617,NI2505.SHF,124160,0.590794153043149,5822.0,592.0,bullish,贴水与低虚实盘比共振，偏多信号增强,1.7723569740031007,1.971594073039662,1.15,1.852051813617725,2.1298595856603835
2025-02-19,0.0199839345765816,NI2505.SHF,124220,0.5330533166836947,5328.0,-1430.0,bullish,贴水与低虚实盘比共振，偏多信号增强,2.227900077300577,2.029559621529384,1.15,2.1485638949920998,2.4708484792409147
2025-02-20,0.018209614191343,NI2505.SHF,126490,0.9986610682855175,-2354.0,34563.0,bullish,贴水与低虚实盘比共振，偏多信号增强,2.5271287549990493,1.1253875563372537,1.15,1.966432275534331,2.2613971168644804
2025-02-21,0.0209996924217242,NI2505.SHF,124400,0.9658146054069463,7261.0,4486.0,bullish,贴水与低虚实盘比共振，偏多信号增强,1.9416060635821706,1.1679959410001908,1.15,1.6321620145493787,1.8769863167317853
2025-02-24,0.0238779894558905,NI2505.SHF,125940,1.1119921606613878,4595.0,17416.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.317362011718468,0.8795023818282502,1.15,1.1422181597623808,1.3135508837267378
2025-02-25,0.0207150521483687,NI2505.SHF,124350,1.028813206368438,16863.0,9964.0,bullish,贴水与低虚实盘比共振，偏多信号增强,1.9394737553206214,1.0196352488507812,1.15,1.5715383527326852,1.8072691056425878
2025-02-26,0.0203839818449326,NI2505.SHF,124130,0.979184502961906,9989.0,4538.0,bullish,贴水与低虚实盘比共振，偏多信号增强,1.9583232636600265,1.0981107791279865,1.15,1.6142382698472104,1.8563740103242918
2025-02-27,0.0254465297948702,NI2505.SHF,125570,1.55518719474043,-8554.0,53303.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.9402566181141223,0.02606735256846712,1.15,0.5745809118958602,0.6607680486802392
2025-02-28,0.0223248099042427,NI2505.SHF,126650,1.8863663853661714,396.0,36210.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.541256434514509,-0.594094271894617,0.85,0.6871161519508585,0.5840487291582297
2025-03-03,0.0247609267907591,NI2505.SHF,127090,1.6580032535088716,-1745.0,-27437.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.0439162765070387,-0.17532521996858985,0.85,0.5562196779167873,0.47278672622926915
2025-03-04,0.026963788265823,NI2505.SHF,127210,1.9856818020322604,6852.0,48252.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.6073485568081985,-0.78790601077353,0.85,0.04924672977550709,0.041859720309181024
2025-03-05,0.0275933497885404,NI2505.SHF,128850,1.5570059318341767,6772.0,-37718.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.481171776134312,0.013985088564293539,1.15,0.2942971011063046,0.33844166627225025
2025-03-06,0.0246601487781676,NI2505.SHF,128390,1.6044365094069495,-614.0,4676.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.049771615742148,-0.07682269620793103,0.85,0.5991338909621163,0.5092638073177989
2025-03-07,0.0245841683848305,NI2505.SHF,129550,2.475498298853301,16167.0,143453.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.0476247729051475,-1.6884124818810449,0.85,-0.04679012900932955,-0.03977160965793012
2025-03-10,0.0209598255127792,NI2505.SHF,132680,2.236441069659954,16541.0,4742.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.7313488272993562,-1.2244529496838772,0.85,0.5490281165060626,0.4666738990301532
2025-03-11,0.0236469090087431,NI2505.SHF,132990,2.0004243938914223,-3003.0,-41752.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.1804403939145307,-0.7857841173712034,0.85,0.39395058940023703,0.33485800099020147
2025-03-12,0.0251732787610025,NI2505.SHF,133680,1.6494825964252116,5688.0,-42714.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.8655618840499925,-0.1393471509316756,0.85,0.4635982700573252,0.3940585295487264
2025-03-13,0.0212996543588802,NI2505.SHF,133310,1.274440663851824,-426.0,-58350.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.6060395971582213,0.5438265952799475,1.15,1.1811543964069118,1.3583275558679484
2025-03-14,0.017665781278721,NI2505.SHF,133660,2.3517675152175426,4168.0,175397.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,2.2582126597515644,-1.4254266191710905,0.85,0.7847569481825024,0.667043405955127
2025-03-17,0.0185867743856355,NI2505.SHF,133900,1.5065725191834183,-4359.0,-140004.0,bullish,贴水与低虚实盘比共振，偏多信号增强,2.0246423046226063,0.1198854713767377,1.15,1.2627395713242588,1.4521505070228975
2025-03-18,0.0178872401389436,NI2505.SHF,129490,2.4302644392838415,-20028.0,93130.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,2.106287327142046,-1.5639816117973275,0.85,0.6381797515662964,0.5424527888313518
2025-03-19,0.0187018094176636,NI2505.SHF,131660,1.6868361325465275,-1310.0,-101450.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.9035889395593324,-0.2179620304257828,0.85,1.0549685515652862,0.8967232688304932
2025-03-20,0.0199444804413423,NI2505.SHF,129670,2.9328883549147866,-19815.0,106588.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.6364783802962461,-2.4331562070307435,0.85,0.008624545365450209,0.007330863560632677
2025-03-21,0.0135757037142957,NI2505.SHF,129190,2.197415932692394,-758.0,-84307.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,2.7045965885028584,-1.0953443949431856,0.85,1.1846201951244408,1.0069271658557746
2025-03-24,0.0178392801743456,NI2505.SHF,129950,1.8845565956677068,-1042.0,-36881.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.8906644892197921,-0.5396002240672579,0.85,0.9185586039049721,0.7807748133192263
2025-03-25,0.0169042924705458,NI2505.SHF,129220,1.737166361808039,-678.0,-17474.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,2.0050664275162826,-0.2811648122362337,0.85,1.090573931615276,0.9269878418729847
2025-03-26,0.0168874164462066,NI2505.SHF,129670,2.384462806895669,-485.0,69973.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.957388462621232,-1.4166820389562884,0.85,0.6077602619902238,0.5165962226916903
2025-03-27,0.018923212328597,NI2505.SHF,130030,1.8267546091155493,-1301.0,-63391.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.5731835362331528,-0.41468113026751086,0.85,0.7780376696328872,0.6613320191879541
2025-03-28,0.0189149786427478,NI2505.SHF,131600,2.3519278173983404,-1815.0,52503.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.5431319808256714,-1.3297243198294324,0.85,0.3939894605636297,0.33489104147908527
2025-03-31,0.0169878515175733,NI2505.SHF,129220,2.715473260908709,-6320.0,21478.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.8265926653627806,-1.9265449962756969,0.85,0.3253376007073896,0.27653696060128113
2025-04-01,0.0160500960358116,NI2505.SHF,130360,2.3519914242772524,-9478.0,-58628.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.934882520793165,-1.2841559811321173,0.85,0.647267120023052,0.5501770520195942
2025-04-02,0.0153827537898351,NI2505.SHF,129460,2.0351785714285713,-888.0,-30475.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.9944450007552554,-0.7472845327622434,0.85,0.8977531873482558,0.7630902092460174
2025-04-03,0.0151820100858637,NI2505.SHF,127330,2.0647440261610064,-1.0,2647.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.9748959972964588,-0.792193077893165,0.85,0.8680603672206091,0.7378513121375178
2025-04-07,0.0137613711672975,NI2505.SHF,118640,3.0853141568363505,-4912.0,76287.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,2.151633049276693,-2.5136986268101977,0.85,0.2855003788419366,0.2426753220156461
2025-04-08,0.0158193890519557,NI2505.SHF,119280,3.26261140542225,-4462.0,457.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.7940023763503057,-2.7343877772306096,0.85,-0.017353685082060588,-0.0147506323197515
2025-04-09,0.0099799457090963,NI2505.SHF,118950,3.3728857528276435,-3129.0,-1707.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,2.604064051206308,-2.804031776143314,0.85,0.44082572026645916,0.37470186222649027
2025-04-10,0.0089657478925706,NI2505.SHF,121600,3.499841600887035,-1338.0,5105.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,2.652186717473356,-2.888748886690269,0.85,0.43581247580790605,0.3704406044367201
2025-04-11,0.0108704372620171,NI2505.SHF,121300,2.397441130519234,-4711.0,-94810.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,2.302314067877777,-1.1576195159622737,0.85,0.9183406343417568,0.7805895391904933
2025-04-14,0.0137354564612417,NI2505.SHF,123090,2.5816978887897712,-3787.0,3314.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.8467829500036006,-1.4225515223059653,0.85,0.5390491610797741,0.45819178691780793
2025-04-15,0.0115628792685358,NI2505.SHF,124240,2.2163765453243234,-3034.0,-31296.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,2.1118646648468777,-0.8687146901339312,0.85,0.919632922854554,0.7816879844263709
2025-04-16,0.0128214328048307,NI2505.SHF,124140,2.873126646544655,-6909.0,22330.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.89240026825327,-1.8509501502379446,0.85,0.3950601008567841,0.3358010857282665
2025-04-17,0.0121093186485597,NI2506.SHF,126190,1.3654412547461054,-955.0,-87720.0,bullish,贴水与低虚实盘比共振，偏多信号增强,1.9567094399235943,0.4621222419079086,1.15,1.3588745607173198,1.5627057448249178
2025-04-18,0.013260542700055,NI2506.SHF,125740,1.257598055992881,2074.0,-3470.0,bullish,贴水与低虚实盘比共振，偏多信号增强,1.7558443603372063,0.629544615505478,1.15,1.3053244624045148,1.5011231317651919
2025-04-21,0.0155848733900395,NI2506.SHF,126020,1.2789101425037455,-1034.0,-77.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.404311587327847,0.6030541722556091,1.15,1.083808621298952,1.2463799144937946
2025-04-22,0.0113422741531068,NI2506.SHF,125620,1.2181375532562386,103.0,-3363.0,bullish,贴水与低虚实盘比共振，偏多信号增强,1.947173530999567,0.7042874621965428,1.15,1.4500191034783574,1.6675219690001108
2025-04-23,0.0128731484075808,NI2506.SHF,126320,1.6494103969440292,2705.0,29262.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.700633803814538,0.04468853826076383,1.15,1.0382556975930284,1.1939940522319825
2025-04-24,0.015711040933306,NI2506.SHF,125770,2.2774104559288744,6489.0,52590.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.2937174197859256,-0.9196130564913018,0.85,0.4083852292750346,0.34712744488377945
2025-04-25,0.0172442933421322,NI2506.SHF,125800,2.5218740584513406,-319.0,15501.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.0661470725302187,-1.278070108071439,0.85,0.12846020028955552,0.10919117024612218
2025-04-28,0.0165220357716053,NI2506.SHF,124690,2.8785580911384465,3777.0,34549.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.1554045955512426,-1.7865986665233262,0.85,-0.021396709278584947,-0.018187202886797205
2025-04-29,0.0174973733221699,NI2506.SHF,124180,1.8884426161158518,1797.0,-66070.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.0044250953926428,-0.26876051059746897,0.85,0.49515085299659806,0.4208782250471083
2025-04-30,0.0157266795835424,NI2506.SHF,123720,1.8620073492326537,-2559.0,-6667.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,1.2358462965726265,-0.2229553865801427,0.85,0.6523256233115187,0.5544767798147908
2025-05-06,0.0174647249162783,NI2506.SHF,124630,1.5001030320871358,-1455.0,-27297.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.9842154513782525,0.3307853553447838,1.15,0.7228434129648651,0.8312699249095948
2025-05-07,0.0181807121776793,NI2506.SHF,124450,2.172157449218126,933.0,47686.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.8662065539638073,-0.6844650154859512,0.85,0.24593792618390392,0.20904723725631832
