trade_date,dominant_code,close,oi,vol,virtual_real_ratio,oi_change,vol_change,oi_change_pct,vol_change_pct,ratio_zscore,signal,signal_text
2020-11-20,NI2102.SHF,116900,146755,578779,3.943845184150455,-2283.0,-4836.0,-0.015318240985520482,-0.008286284622567974,-0.3750395593480396,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-11-23,NI2102.SHF,119780,151399,723927,4.781583762112035,4644.0,145148.0,0.03164457769752316,0.25078311410745724,0.26494430182463097,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-11-24,NI2102.SHF,121200,162669,687996,4.2294229386053885,11270.0,-35931.0,0.0744390649872193,-0.049633457517125334,-0.22221339459216716,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-11-25,NI2102.SHF,119660,156527,736423,4.704766589789621,-6142.0,48427.0,-0.037757655115602806,0.07038849063075947,0.19505832709543552,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-11-26,NI2102.SHF,120750,155117,709564,4.574379339466338,-1410.0,-26859.0,-0.009008030563417146,-0.036472244891862404,0.08729450865287695,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-11-27,NI2102.SHF,122850,183010,892264,4.875493142451232,27893.0,182700.0,0.17981910428902048,0.25748205940549407,0.3433246638636725,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-11-30,NI2102.SHF,121960,166755,871392,5.225582441306107,-16255.0,-20872.0,-0.0888202830446424,-0.023392179892946507,0.6348531062411271,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-12-01,NI2102.SHF,119240,153493,808607,5.268038281876047,-13262.0,-62785.0,-0.07952984917993466,-0.07205138445154424,0.6565461334165805,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-12-02,NI2102.SHF,119730,151332,722934,4.777139005630006,-2161.0,-85673.0,-0.014078817926550413,-0.10595134595668843,0.2279895725821943,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-12-03,NI2102.SHF,117550,151680,712199,4.695404799578059,348.0,-10735.0,0.002299579731980028,-0.0148492116846074,0.15151058281703694,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-12-04,NI2102.SHF,117750,143478,686756,4.786489914830148,-8202.0,-25443.0,-0.05407436708860758,-0.035724565746371395,0.2483619664469993,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-12-07,NI2102.SHF,120990,147241,811223,5.509491242249102,3763.0,124467.0,0.02622701738245592,0.18123904268765045,0.8794917100586315,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-12-08,NI2102.SHF,121490,148969,737561,4.951103920949996,1728.0,-73662.0,0.011735861614631693,-0.09080363845699646,0.39855499090401925,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-12-09,NI2102.SHF,121690,145757,717582,4.923139197431341,-3212.0,-19979.0,-0.021561532936382743,-0.027087928998415056,0.3683520359624848,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-12-10,NI2102.SHF,123580,157469,947732,6.018530631425868,11712.0,230150.0,0.08035291615497031,0.3207298956774278,1.328749050049569,active,虚实盘比显著抬升，短线博弈活跃
2020-12-11,NI2102.SHF,129250,171393,1326024,7.736745374665243,13924.0,378292.0,0.08842375324667073,0.3991550353897515,2.6105752617301317,active,虚实盘比显著抬升，短线博弈活跃
2020-12-14,NI2102.SHF,130930,174599,834720,4.780783395093901,3206.0,-491304.0,0.01870554806789082,-0.37050913105645145,0.20717013412344423,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-12-15,NI2102.SHF,131480,177687,447237,2.516993364736869,3088.0,-387483.0,0.01768624104376304,-0.46420715928694656,-1.6110565087291908,bullish,低虚实盘比且增仓，偏向主力沉淀建仓
2020-12-16,NI2102.SHF,129370,159593,637162,3.9924182138314337,-18094.0,189925.0,-0.10183074732535302,0.42466298629138466,-0.446433582574834,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-12-17,NI2102.SHF,130450,156328,374216,2.3937874213192774,-3265.0,-262946.0,-0.020458290777164434,-0.412683116695597,-1.7244421037126272,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-12-18,NI2102.SHF,131530,148084,479129,3.235521730909484,-8244.0,104913.0,-0.05273527455094418,0.28035412702824036,-1.05346244369495,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-12-21,NI2102.SHF,132740,135403,409781,3.0263805085559405,-12681.0,-69348.0,-0.08563382944815101,-0.14473763850653998,-1.2566487310436438,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-12-22,NI2103.SHF,125740,118771,751353,6.326064443340546,-16632.0,341572.0,-0.12283331979350531,0.8335476754656757,1.4429142689905041,bearish,高虚实盘比且减仓，偏向短线资金离场
2020-12-23,NI2103.SHF,124010,127083,834543,6.566912962394656,8312.0,83190.0,0.06998341345951453,0.11072026064978768,1.5890768026063342,active,虚实盘比显著抬升，短线博弈活跃
2020-12-24,NI2103.SHF,125140,135413,649866,4.799140407494111,8330.0,-184677.0,0.06554771291203387,-0.2212911737322103,0.0808661763675407,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-12-25,NI2103.SHF,127520,142098,754580,5.310278821658292,6685.0,104714.0,0.04936749056589851,0.16113167945391815,0.5355569110649926,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-12-28,NI2103.SHF,127800,147173,792362,5.383881554361194,5075.0,37782.0,0.03571478838548048,0.050070237748151225,0.6228882020106348,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-12-29,NI2103.SHF,126790,152025,788919,5.189403058707449,4852.0,-3443.0,0.03296800364197239,-0.004345236142066389,0.47363683498940956,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-12-30,NI2103.SHF,125250,152984,865884,5.659964440725828,959.0,76965.0,0.006308172997862238,0.09755754393036553,0.8903995836461044,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-12-31,NI2103.SHF,123580,154265,790341,5.123268401776165,1281.0,-75543.0,0.008373424671861196,-0.08724378785149045,0.44228364536234893,neutral,虚实盘比平稳，短线与持仓结构均衡
2021-01-04,NI2103.SHF,128210,167792,546456,3.2567464479832173,13527.0,-243885.0,0.08768677276115766,-0.30858199182378243,-1.284120728979613,bullish,低虚实盘比且增仓，偏向主力沉淀建仓
2021-01-05,NI2103.SHF,129580,175333,846858,4.8299977756611705,7541.0,300402.0,0.04494254791646801,0.5497276999429048,0.16839715008502848,neutral,虚实盘比平稳，短线与持仓结构均衡
2021-01-06,NI2103.SHF,129470,170286,776117,4.557726413210716,-5047.0,-70741.0,-0.028785225827425487,-0.08353348495261304,-0.08242213423067347,neutral,虚实盘比平稳，短线与持仓结构均衡
2021-01-07,NI2103.SHF,133270,193751,996704,5.144252158698536,23465.0,220587.0,0.13779758758794025,0.28421874536957703,0.4697552583215394,neutral,虚实盘比平稳，短线与持仓结构均衡
2021-01-08,NI2103.SHF,132490,184217,931869,5.05853965703491,-9534.0,-64835.0,-0.049207487961352436,-0.06504940283173344,0.3945391911768887,neutral,虚实盘比平稳，短线与持仓结构均衡
2021-01-11,NI2103.SHF,127490,170195,1058810,6.221158083374952,-14022.0,126941.0,-0.07611675361123027,0.13622193677437489,1.4320082512368617,bearish,高虚实盘比且减仓，偏向短线资金离场
2021-01-12,NI2103.SHF,129920,168529,924052,5.483044461190656,-1666.0,-134758.0,-0.009788771703046484,-0.1272730707114591,0.7560955885956939,neutral,虚实盘比平稳，短线与持仓结构均衡
2021-01-13,NI2103.SHF,131180,182424,937328,5.138183572336973,13895.0,13276.0,0.08244871802479103,0.014367156826672112,0.4212351080878158,neutral,虚实盘比平稳，短线与持仓结构均衡
2021-01-14,NI2103.SHF,132150,198042,961456,4.854808575958635,15618.0,24128.0,0.0856137350348638,0.0257412559957666,0.1559260361775096,neutral,虚实盘比平稳，短线与持仓结构均衡
